ISIC Description,2005 M01,2005 M02,2005 M03,2005 M04,2005 M05,2005 M06,2005 M07,2005 M08,2005 M09,2005 M10,2005 M11,2005 M12,2006 M01,2006 M02,2006 M03,2006 M04,2006 M05,2006 M06,2006 M07,2006 M08,2006 M09,2006 M10,2006 M11,2006 M12,2007 M01,2007 M02,2007 M03,2007 M04,2007 M05,2007 M06,2007 M07,2007 M08,2007 M09,2007 M10,2007 M11,2007 M12,2008 M01,2008 M02,2008 M03,2008 M04,2008 M05,2008 M06,2008 M07,2008 M08,2008 M09,2008 M10,2008 M11,2008 M12,2009 M01,2009 M02,2009 M03,2009 M04,2009 M05,2009 M06,2009 M07,2009 M08,2009 M09,2009 M10,2009 M11,2009 M12,2010 M01,2010 M02,2010 M03,2010 M04,2010 M05,2010 M06,2010 M07,2010 M08,2010 M09,2010 M10,2010 M11,2010 M12,2011 M01,2011 M02,2011 M03,2011 M04,2011 M05,2011 M06,2011 M07,2011 M08,2011 M09,2011 M10,2011 M11,2011 M12,2012 M01,2012 M02,2012 M03,2012 M04,2012 M05,2012 M06,2012 M07,2012 M08,2012 M09,2012 M10,2012 M11,2012 M12,2013 M01,2013 M02,2013 M03,2013 M04,2013 M05,2013 M06,2013 M07,2013 M08,2013 M09,2013 M10,2013 M11,2013 M12,2014 M01,2014 M02,2014 M03,2014 M04,2014 M05,2014 M06,2014 M07,2014 M08,2014 M09,2014 M10,2014 M11,2014 M12,2015 M01,2015 M02,2015 M03,2015 M04,2015 M05,2015 M06,2015 M07,2015 M08,2015 M09,2015 M10,2015 M11,2015 M12,2016 M01,2016 M02,2016 M03,2016 M04,2016 M05,2016 M06,2016 M07,2016 M08,2016 M09,2016 M10,2016 M11,2016 M12,2017 M01,2017 M02,2017 M03,2017 M04,2017 M05,2017 M06,2017 M07,2017 M08,2017 M09,2017 M10,2017 M11,2017 M12,2018 M01,2018 M02,2018 M03,2018 M04,2018 M05,2018 M06,2018 M07,2018 M08,2018 M09,2018 M10,2018 M11,2018 M12,2019 M01,2019 M02,2019 M03,2019 M04,2019 M05,2019 M06,2019 M07,2019 M08,2019 M09,2019 M10,2019 M11,2019 M12,2020 M01,2020 M02,2020 M03,2020 M04,2020 M05,2020 M06,2020 M07,2020 M08,2020 M09,2020 M10,2020 M11,2020 M12,2021 M01,2021 M02,2021 M03,2021 M04,2021 M05,2021 M06,2021 M07,2021 M08,2021 M09,2021 M10,2021 M11,2021 M12
10 Food products,70.3,69.85,71.65,74.55,72.1,72.95,73.35,75.6,76.3,75.75,76.6,74.75,74.05,75.9,79.85,76.4,81.3,80.15,83.7,86.35,86.1,86.7,84.4,83.25,81.1,81.1,84.95,82,85,85.45,88.55,89.5,89.3,90.05,92.35,88.3,86.35,88.05,88.75,89.4,86.5,85.45,88.3,85.8,86.45,82.2,82.25,85.15,82.3,83,84.9,83.35,84.4,82.1,87.75,86.45,87.15,88.9,87.3,86.9,81.05,80,86.45,82.4,84.75,85.35,85.1,85.9,87.4,88.15,85.7,84.8,84.35,85.2,89.4,85.1,88.85,85.6,89.9,91.65,93.95,92,91.85,90.4,86.65,90,93.45,86.15,89.2,92.2,93.7,94.4,94.3,93.05,89.3,88.65,87.7,87.35,89.7,93.4,91.1,92.35,97.15,97.75,97.45,100.75,98.15,96.85,93.85,93.95,96.35,97.85,97.85,95.1,101.95,99.45,101.5,101.8,97.35,98.95,97,98.1,100.15,96.85,97.7,97.85,102.4,101.75,103.8,103.2,100.4,100.75,98.75,98.85,98.7,98.55,97.9,100.65,97.1,106.2,103.75,103.85,103.05,101.3,100.9,100.45,102.55,98.55,100.15,103.7,105.15,105.1,105.25,104.2,103.95,103.9,101.35,101.1,105.55,104.75,105.4,105.75,106.85,108.65,105.5,108.15,104.25,103.1,103.6,102.05,105.2,101.55,108.15,104.95,111.95,112.35,111.75,112.05,108.15,108.95,108.35,108.15,110.75,104.75,106.15,106.3,109.35,107.3,109.55,113.35,108,110.8,108.8,109.05,113.65,110.85,91.5,115.4,120.5,119.9,121.1,120.75,119.4,121.1
11 Beverages,57.25,54.35,56.5,58,59.4,61.1,62.45,66.6,63.75,62.15,65.8,72.8,53.75,57.55,59.95,59.75,60.95,63.7,71.45,70.85,70.55,73.45,78.1,83.7,67.8,68.95,67.25,60.6,64.35,69.6,74.4,75.25,78.8,77.85,85.5,77.35,69.15,67.2,62.8,67.2,69.75,70.35,74.6,76.2,80.65,77.7,75.35,88.2,73.8,58.25,61.8,66.45,72.4,75.2,82.15,80.45,89.7,88.5,93.55,98.05,79.45,73.65,74.85,72.7,72.65,71.15,72.6,72.5,76.15,80.2,85.8,91.55,76.5,72.5,70.75,75.2,78.5,79.5,84,89.05,83.5,88.35,99.5,94.35,81,73,77.05,77.95,83.25,85.75,90.2,88.7,87,99.9,97.05,104.55,88.2,75.65,68.25,87.85,87.6,83.5,92.7,89.35,87.55,101.15,103.8,101.8,85.7,79.65,82.15,89.35,94.7,88.8,95.9,94.85,96.55,98.85,97.2,105.25,92.95,87.4,88.4,88.95,94.15,97.7,102.8,101.65,109.45,115.7,108.3,112.6,111.8,100.9,101.8,104.15,101.85,110,92.4,113.7,112.4,113.9,112.35,116.35,103.35,91,95.75,91.8,101.95,100.65,105.1,110.7,106.65,107.05,110.1,113.4,101.8,94.8,104.35,102.75,105,101.5,107.1,110.95,114.8,112.15,120.3,125.5,111.2,103.35,106.55,106.7,110.3,106.15,114.55,116.2,113.5,123.8,122,122.4,117.1,114.15,92.85,47.95,78.2,99.9,101.35,96.15,112.4,123.45,124.15,116.75,116,115.25,121.65,115.9,100.4,121.05,127.1,133.9,126.25,129.9,139.9,143.05
13 Textiles,75.35,85.4,93.3,84.3,83.95,88.85,88.45,99.25,100.85,107.65,100.5,93.15,78.55,87.35,95.7,86.35,94.55,99.65,90.55,102.5,110.1,110.95,119.3,111.25,92.4,97.5,112.2,98.2,107.1,115.95,101.65,109.45,116.7,132,125.75,114.45,96.45,110.3,96.6,103.45,95.75,97.75,99.65,99.15,103.3,102.95,99.6,91.2,72.5,85.3,85.55,77.55,83.15,84.15,84.2,81.05,89.45,99,91.65,93.8,81,85.65,96,83.8,91.25,97.4,92.25,93.1,106.5,108.5,109.9,109.85,91.55,91.6,102.5,85.35,92.6,93.65,95.75,100.8,109.05,113.45,112.2,110,97.45,97.7,108.4,90.7,98.1,110.35,98.45,103.8,113.85,114.3,99.35,101.25,80.55,88.55,92.7,91.05,97.3,100.05,89.65,96.6,105.55,110.1,112.3,99.95,89.7,94.5,94.45,95.45,94.95,92.3,95.75,95.65,96.6,101.25,99,93.8,86.7,92.7,98.8,95.9,97.55,100.6,102.55,103.75,100.35,112.5,107.35,101.2,89.65,98.8,93.95,97.2,101.9,104.6,97.95,101.35,101.15,106.35,103.2,101.95,84.8,86.4,93.65,87.95,87.75,87.4,85.5,94.85,92.45,97.3,96.4,100.65,80.05,89.7,90.45,94.6,92.75,85.9,90.85,94.5,94.5,98.55,103.2,93.25,82.75,90.7,93.05,95.3,98.3,87.95,93.65,96.05,97.3,104.05,100.3,103.8,87.1,92.6,64.65,17.2,42,59.3,71.7,74.25,84.6,92,95.65,102,86.85,96.05,103.5,96.45,90.95,96.05,102.9,109.6,115,116.7,121.4,119.55
14 Wearing apparel,75.35,85.4,93.3,84.3,83.95,88.85,88.45,99.25,100.85,107.65,100.5,93.15,78.55,87.35,95.7,86.35,94.55,99.65,90.55,102.5,110.1,110.95,119.3,111.25,92.4,97.5,112.2,98.2,107.1,115.95,101.65,109.45,116.7,132,125.75,114.45,96.45,110.3,96.6,103.45,95.75,97.75,99.65,99.15,103.3,102.95,99.6,91.2,72.5,85.3,85.55,77.55,83.15,84.15,84.2,81.05,89.45,99,91.65,93.8,81,85.65,96,83.8,91.25,97.4,92.25,93.1,106.5,108.5,109.9,109.85,91.55,91.6,102.5,85.35,92.6,93.65,95.75,100.8,109.05,113.45,112.2,110,97.45,97.7,108.4,90.7,98.1,110.35,98.45,103.8,113.85,114.3,99.35,101.25,80.55,88.55,92.7,91.05,97.3,100.05,89.65,96.6,105.55,110.1,112.3,99.95,89.7,94.5,94.45,95.45,94.95,92.3,95.75,95.65,96.6,101.25,99,93.8,86.7,92.7,98.8,95.9,97.55,100.6,102.55,103.75,100.35,112.5,107.35,101.2,89.65,98.8,93.95,97.2,101.9,104.6,97.95,101.35,101.15,106.35,103.2,101.95,84.8,86.4,93.65,87.95,87.75,87.4,85.5,94.85,92.45,97.3,96.4,100.65,80.05,89.7,90.45,94.6,92.75,85.9,90.85,94.5,94.5,98.55,103.2,93.25,82.75,90.7,93.05,95.3,98.3,87.95,93.65,96.05,97.3,104.05,100.3,103.8,87.1,92.6,64.65,17.2,42,59.3,71.7,74.25,84.6,92,95.65,102,86.85,96.05,103.5,96.45,90.95,96.05,102.9,109.6,115,116.7,121.4,119.55
15 Leather and related products,76.25,79.8,80.8,83.25,78,80.2,74.85,81.45,87.55,94.35,98.4,91.7,73.4,75.9,88.3,82.1,84.3,82.7,80.35,81.8,93.4,97.3,99.15,102.35,85.9,90.85,99.55,90.8,96.25,97.6,90.4,90.55,97.1,106.5,109.65,95.35,78.7,94.4,89.5,91.05,84.5,85.25,87.05,82.95,98.5,109.5,98.05,94.25,66.75,76.6,81.45,74.5,77,75.95,75.3,73.7,83.9,88.4,92.25,89.05,75.45,78.7,94.3,86.95,89.05,93.2,89.55,94.65,108.45,105.45,114.1,102.55,89.4,98.75,102.05,96.45,104.85,102.55,101.5,105.3,116.55,112.8,111.8,106.05,93.5,106.2,115.15,103.75,109.35,99.9,101.35,100.15,104,112.1,114.05,102.2,93.3,99.15,93.15,99.15,99.6,91.95,92.95,93.05,103.6,106.8,106.55,102.95,86.5,96.25,104.65,103.4,105.95,99.25,111.25,102.2,111.9,114.9,108.55,100.5,85.9,97.8,104.6,97.7,98.3,96.8,98.1,100.4,107.9,108.9,105.65,98.05,92.15,104.55,101.35,103.65,99.9,100.95,94.15,101.25,102.4,100.15,101.05,93.6,83.35,97.65,100.65,93.85,96.8,98.15,94.9,97.25,102.2,100.2,101.2,91.45,81.1,86.85,88.15,90.35,91.45,90.4,91.55,94.6,93.7,99.7,97.85,85,79.75,86,90.5,88.2,90.05,86.2,85.5,90.9,90.6,91.9,90.55,79.8,68.1,79.25,51.9,14.75,36.15,47.55,59.25,60.8,65.95,72,75.3,72.15,65.05,80.2,79.55,75.95,70.65,77.45,80.65,83.85,89.35,88.9,91.5,94
"16 Wood products, excluding furniture",111,127.6,126.15,122.2,123.7,121.1,137.15,135.15,126.95,121.8,134.5,127.65,123.3,139.45,135.9,156.25,138.85,143.9,136.25,148.8,141.7,142,134.7,134.2,151.65,152.1,166.85,179.75,165.2,180.9,188.5,177.35,168.3,159.85,161.85,172.35,140.7,155.55,141.05,158.8,132.55,129.05,136.15,141.4,124.25,123.75,164.7,192.15,125.9,130.25,125.95,124.4,110.3,119,130.25,119.9,130.55,132.45,109.45,117.05,103.4,134.1,130,137.75,116,121.4,107.15,119.45,103,106.25,110.7,110.5,103.7,129.05,122.45,127.05,121.05,112.95,114.45,128.05,130,112.85,109.95,110.7,107.5,122.8,121.2,127.85,103.75,130.7,128.75,124.55,111.4,110.15,109.1,112.05,117.45,112.35,118.5,126.95,102.65,110.9,110.65,97.65,114.25,102.05,94.95,112,81.65,83.7,87.2,80.5,88.75,89.65,86.95,80.15,81.7,87.65,91.75,95,89.8,88.45,90.8,88.15,93.9,107.25,113.35,105.2,110.5,105.4,101.45,105.8,97.5,98.25,99.7,98.7,103.4,96.9,79.5,104.25,106.2,108.5,101.1,102.1,96.2,101,102.15,86.65,93.2,95.1,95.85,96.4,98.3,99.35,96.35,96.7,85.6,85.9,84.4,85.95,87.15,82.35,87.35,87.6,81.35,87.1,88.3,82.1,80.3,77.45,79.75,78.05,81.25,78.55,80.85,81,82.4,83.55,84.9,79.25,76.35,83.45,66.2,27.9,70.4,64.95,82.5,79.25,88.4,89.75,85.6,93.4,83.6,89.1,97.15,94.25,79.1,91.95,100.1,105.55,100,106.95,102.15,104.7
17 Paper and paper products,93.25,89.2,94.35,96.45,96.75,94.9,95,96.55,96,92.95,93.25,91.2,94.65,94.3,96.45,96.5,97.5,98.05,102.6,107.45,106.75,103.7,102.3,99.85,106.3,103.9,111.85,107.45,105.35,107.35,108.1,112.15,110.3,108,105.95,102.6,110.95,107.4,108.1,111.5,110.65,110.9,125.4,115.2,115.5,111.3,111.15,107.2,111.2,107.8,108.25,105.95,110,105.6,109.65,113.9,109.1,104.35,104.15,103.55,110.45,106.9,110.25,112.55,110.35,112.1,109.05,110.25,111.3,110.3,106.4,103.75,100.3,100.25,103.75,103.1,105.45,102.15,105.05,109.25,108,102.25,102.05,95.9,103.3,100.25,103.55,99.75,102.05,102.75,102.35,103.7,102.2,102.45,96.35,91.6,96.3,91.15,89.2,97.15,93.45,94.8,96.65,100,97.5,94.8,91.9,92.1,95.25,95.35,95.55,92.95,98.05,95,96.6,95.65,95.05,96.35,94.05,91.5,94.4,97.9,101,98.2,102.5,101.2,102.6,102.15,101.15,99.95,99.35,99.65,98,100.45,101,99.25,97.8,98.6,96.3,105.7,105.2,102.6,101.7,101.95,104.1,103.65,105.95,102.1,103.65,103.8,105.2,108.05,109.7,105.45,104.5,103.55,107.7,108.25,110.85,110.95,113.5,109.35,111.1,114.2,116.2,116.85,117.5,112.5,116.45,116.25,117.2,115.35,117.7,116.3,118.45,118.8,118.6,119.3,118.55,114.55,115.9,118.4,117.1,110.65,109.75,105.8,109.75,111.85,112.4,116.9,116.55,118.9,114.8,116.35,122.75,117.65,71.4,121.25,143.8,143.65,143.7,145.75,141.9,142.6
18 Printing and reproduction of recorded media,107.5,104.45,106.35,101.95,116.05,123.25,120.25,117.75,119.7,109.25,113.5,110.4,116,101.35,109.15,104.05,115.15,130.15,130.65,127,128.3,120.05,120.05,115.2,110.55,105.4,112.15,104.55,121.25,131.65,133.7,127.7,128.2,131.25,122.75,120.3,116.2,105.05,109,108.6,121.3,138.45,149.45,137,143.1,144,134.2,133.45,121.1,113.25,119.75,114.45,127.9,139.1,141.7,130.55,134.95,132.3,125.25,120,116.45,112,121.75,113.1,129.2,137.45,128.7,124.75,131.25,122.6,121.75,125.8,114.2,105.9,118,114.6,126.7,142,142.85,139.05,130.7,152.7,153.2,153.1,137.7,117.05,122.6,91.45,106.3,118.85,114.15,114.45,123.75,128.8,121.3,122.65,103.55,97.5,92.05,96.85,97.95,101.25,113.95,104.7,104.75,107.65,101.6,105.65,97.55,87.7,88.8,88.95,89.3,91.6,96,84.65,91.35,97.55,98.4,106.7,87.25,85.4,91.7,86.6,98,91.85,97.7,101.05,106.8,116.75,121.8,115.05,96.45,99.2,94,99,97.7,96.95,96.55,102.75,103.75,104.3,112.35,116.25,94.5,89.35,96.55,88,96.15,96.2,99.2,97.5,111.25,100.35,107.5,105.05,91.95,93.25,92.8,97.2,98.75,93.3,96.75,104.2,100.15,110.7,115.6,104.8,99.1,99.05,100.9,101.35,101.15,97.95,103.75,110,108.55,114.85,109.9,109.35,103.35,104.65,94.5,66.9,84,84.45,88.95,87.95,94.3,100.8,97.3,98.95,89.25,90.8,101,98.3,88.25,100.45,105.8,109.2,115.5,116.2,123.9,128.65
19 Coke and refined petroleum products,140.5,144.05,155.85,142.8,160.95,129.7,139.95,142.25,135.25,136.8,121.75,121.9,129.8,120.2,131.3,125.85,140.45,120.3,120.6,117.7,113.9,127.1,124.3,123.4,125.8,117.6,135.55,120.2,135.35,131.9,127.35,135.3,129.1,127.5,128.1,135.8,132.8,134.2,126.1,115.3,135,112.7,117.5,111.65,109.5,116.95,110.9,118.2,120.85,109,118.35,112.95,134.1,111.05,114.05,113,109.45,121.5,110.45,116.35,116.2,119.2,119.4,116.4,125.55,114.9,115.05,115.95,117.75,119.1,116.15,123.7,125.55,120.85,132.55,117.35,130.25,115.2,114.15,121.15,107.85,120.1,108.1,129.85,121.7,109.7,114.6,105.2,127.15,113.9,116.85,108,113.65,112.8,113.65,114.3,119.35,114.55,124.7,117.75,131.3,116.05,126.45,114.5,104.1,105.95,108.4,115.6,115.3,110.05,109.75,103.6,102.05,98.65,97.35,95.35,97,102.75,94.9,99.65,95.75,94.3,98.55,94.7,99.15,98.3,100.65,94.95,92.5,96.85,117.95,116.35,121.05,111.1,119.2,120.35,130.1,127.55,119.75,126.2,128.8,122.05,125.45,130.45,128.1,123,131.85,127.7,135.5,135.15,132.25,127.4,125.35,133.75,126.35,138.15,133.95,127.95,137.7,137.35,134.4,140.1,134.85,136.65,137.1,135.25,137.8,129.2,125.4,123.95,135.5,133.7,130.55,135.8,130.75,133.35,132.55,138.55,132,134.6,132.85,128.95,117.15,79.3,87.6,100.8,110.45,117.65,120.85,123.05,121.55,129.85,130.15,124.5,136.2,127.85,122.5,126.75,131.4,129.1,126.75,132.6,127.75,132.75
20 Chemicals and chemical products,67.15,64.1,69,73.25,69.3,66.8,67.1,68.55,71.85,75.05,72.95,73.05,69.05,67.9,73.85,73.1,74.4,77.95,75.7,80.8,80.5,81.4,79.2,75.3,74.75,76.85,80.4,83.45,85.7,82.45,82.85,85.85,90.6,89.4,87.35,84.2,85.2,89.05,87.25,92.05,90.75,88.75,88.6,93.5,94.75,86.5,70.2,73.35,58.3,86.3,85.4,86.65,90.95,90.15,90.9,93.35,95.5,89.35,95.7,87.8,92.05,95.4,97.95,100.35,103.55,92.85,93.55,95.9,98.65,104.25,90.75,90.8,99.55,97,107.05,108.85,108.9,97.8,97.85,97.35,103.05,98.25,101.15,95,91.3,96.7,99.7,98.1,100.3,98.95,99.15,99.25,99.9,101.8,96.7,94.15,92.5,91.35,98.15,101.6,96.3,98.8,99.5,96.15,102.25,97.95,90.85,94.4,91.85,94,97.1,91.15,103.45,99.8,97.55,100.8,102.15,102.9,100.9,99.65,100.95,97.65,105.9,103.45,103.05,101.7,100.05,99.15,100.1,98.9,96.3,92.75,94.95,94,97.3,92.45,94.8,94.25,92.3,101.5,97,94.75,93.15,95.1,95.35,97.5,102.55,99.2,97.95,97.6,97.2,97.15,98.35,102.5,109.3,100.45,104.05,104.05,107.7,108.8,106.6,106.8,108.65,111.4,107,108,103.2,102.75,103.2,101.1,96.05,98.15,99.7,101.1,100.05,102.2,101.95,106.35,105.3,105.05,103.15,102.9,111.2,90.9,91.05,93,102.35,104.7,108.3,112.7,108.65,113.75,117.45,122.6,129.8,129.75,116.25,129,134.45,139.95,135.05,137.75,144.15,137.1
